Abr, Qual, Level
AgrB , Bachelor of Agriculture,Bachelor's Level Qualifications
BA , Bachelor of Arts,Bachelor's Level Qualifications
BA(Admin) , Bachelor of Arts in Administration,Bachelor's Level Qualifications
BAcc , Bachelor of Accounting,Bachelor's Level Qualifications
BACom , Bachelor of Arts in Commerce,Bachelor's Level Qualifications
BAdmin , Bachelor of Administration,Bachelor's Level Qualifications
BAE , Bachelor of Arts and Economics,Bachelor's Level Qualifications
BAEcon , Bachelor of Arts in Economics,Bachelor's Level Qualifications
BA(Ed) , Bachelor of Arts in Education,Bachelor's Level Qualifications
BA(FS) , Bachelor of Arts in Financial Studies,Bachelor's Level Qualifications
BAgr , Bachelor of Agriculture,Bachelor's Level Qualifications
BAH , Bachelor of Animal Health,Bachelor's Level Qualifications
BAI , Bachelor of Engineering (Arte Ingeniaria),Bachelor's Level Qualifications
BAI(Elect) , Bachelor of Electrical Engineering,Bachelor's Level Qualifications
BAI(Mech) , Bachelor of Mechanical Engineering,Bachelor's Level Qualifications
BALaw , Bachelor of Arts on Law,Bachelor's Level Qualifications
BAO , Bachelor of Obstetrics (Arte Obstetricia),Bachelor's Level Qualifications
BAppSc , Bachelor of Applied Science,Bachelor's Level Qualifications
BArch , Bachelor of Architecture,Bachelor's Level Qualifications
BArchSc , Bachelor of Architectural Science,Bachelor's Level Qualifications
BARelSt , Bachelor of Arts on Religious Studies,Bachelor's Level Qualifications
BASc , Bachelor of Arts and Science,Bachelor's Level Qualifications
BASoc , Bachelor of Arts in Sociology,Bachelor's Level Qualifications
BASS , Bachelor of Arts in the Social Sciences,Bachelor's Level Qualifications
BATheol , Bachelor of Arts on Theology,Bachelor's Level Qualifications
BBA , Bachelor of Business Administration,Bachelor's Level Qualifications
BBLS , Bachelor of Business and Legal Studies,Bachelor's Level Qualifications
BBS , Bachelor of Business Studies,Bachelor's Level Qualifications
BBus , Bachelor of Business,Bachelor's Level Qualifications
BChem , Bachelor of Chemistry,Bachelor's Level Qualifications
BCJ , Bachelor of Criminal Justice,Bachelor's Level Qualifications
BCL , Bachelor of Civil Law,Bachelor's Level Qualifications
BCLD(SocSc) , Bachelor of Community Learning and Development in Social Sciences,Bachelor's Level Qualifications
BClinSci , Bachelor of Clinical Science,Bachelor's Level Qualifications
BCom , Bachelor of Commerce,Bachelor's Level Qualifications
BCombSt , Bachelor of Combined Studies,Bachelor's Level Qualifications
BCommEdCommDev , Bachelor of Community Education and Community Development,Bachelor's Level Qualifications
BComp , Bachelor of Computing,Bachelor's Level Qualifications
BComSc , Bachelor of Commercial Science,Bachelor's Level Qualifications
BCoun , Bachelor of Counseling,Bachelor's Level Qualifications
BD , Bachelor of Divinity,Bachelor's Level Qualifications
BDes , Bachelor of Design,Bachelor's Level Qualifications
BE , Bachelor of Engineering,Bachelor's Level Qualifications
BEcon , Bachelor of Economics,Bachelor's Level Qualifications
BEcon&Fin , Bachelor of Economics and Finance,Bachelor's Level Qualifications
BEconSci , Bachelor of Science in Economics,Bachelor's Level Qualifications
BEd , Bachelor of Education,Bachelor's Level Qualifications
BEng , Bachelor of Engineering,Bachelor's Level Qualifications
BES , Bachelor of Engineering Studies,Bachelor's Level Qualifications
BEng(Tech) , Bachelor of Engineering in Technology,Bachelor's Level Qualifications
BFA , Bachelor of Fine Art,Bachelor's Level Qualifications
BFin , Bachelor of Finance,Bachelor's Level Qualifications
